City,Temperature,Happiness Score
"Fremont, CA",9.416666666666666,75.32
"Plano, TX",18.583333333333332,73.23
"San Jose, CA",14.666666666666666,73.2
"Irvine, CA",9.083333333333334,72.81
"Madison, WI",9,72.19
"Sioux Falls, SD",9.833333333333334,70.26
"Huntington Beach, CA",16.416666666666668,69.9
"Scottsdale, AZ",23,69.49
"Santa Rosa, CA",9.416666666666666,69.33
"Pearl City, HI",23.583333333333332,69.13
"Bismarck, ND",8.333333333333334,68.86
"Fargo, ND",6.416666666666667,68.41
"Lincoln, NE",12.5,68.33
"San Francisco, CA",5.916666666666667,68.3
"Overland Park, KS",14,68.23
"Santa Clarita, CA",18.25,67.86
"Oceanside, CA",16,67.66
"Glendale, CA",9.833333333333334,67.64
"Anaheim, CA",17.5,67.1
"Cape Coral, FL",22.416666666666668,66.96
"Pembroke Pines, FL",23.25,66.8
"Austin, TX",20.416666666666668,66.54
"Gilbert, AZ",22.916666666666668,66.37
"San Diego, CA",16.833333333333332,66.34
"Chula Vista, CA",16.5,66.21
"Garden Grove, CA",3.5,66.19
"Grand Prairie, TX",19.083333333333332,65.89
"Charleston, SC",17.916666666666668,65.86
"Cedar Rapids, IA",10.166666666666666,65.64
"Minneapolis, MN",8.166666666666666,65.44
"Raleigh, NC",15.333333333333334,65.2
"Aurora, CO",20.166666666666668,64.92
"Chandler, AZ",22.916666666666668,64.92
"Des Moines, IA",10.583333333333334,64.88
"Irving, TX",19,64.8
"Columbia, MD",12.416666666666666,64.58
"Oxnard, CA",14.916666666666666,64.54
"Peoria, AZ",22.833333333333332,64.49
"Oakland, CA",8.416666666666666,64.27
"St. Paul, MN",8.583333333333334,64.14
"Fort Lauderdale, FL",23.25,63.96
"Yonkers, NY",10.916666666666666,63.96
"Garland, TX",18.583333333333332,63.8
"Tempe, AZ",22.916666666666668,63.7
"Boise, ID",15.25,63.62
"Durham, NC",14.75,63.38
"Las Cruces, NM",23.833333333333332,63.01
"Aurora, IL",10,62.98
"Charlotte, NC",16.166666666666668,62.88
"Omaha, NE",11.666666666666666,62.81
"Boston, MA",9.333333333333334,62.71
"Rancho Cucamonga, CA",19.75,62.7
"Santa Ana, CA",16.833333333333332,62.65
"Denver, CO",20.25,62.6
"Seattle, WA",10.583333333333334,62.54
"Honolulu, HI",23.75,62.47
"Port St. Lucie, FL",22.416666666666668,62.21
"Nashua, NH",8.166666666666666,62.2
"Rapid City, SD",14.166666666666666,62.04
"Fort Worth, TX",19,61.97
"Arlington, TX",19.083333333333332,61.95
